,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.705,0.017,5.671,5.734,0.003,0.001,28.904,124.484,1.125
beta_bert_base_uncased_surprisal,0.005,0.001,0.002,0.008,0.0,0.0,7043.366,6442.833,1.0
beta_bert_base_uncased_entropy,0.0,0.001,-0.002,0.003,0.0,0.0,6837.144,6289.702,1.0
u0_raw[0],-0.739,0.103,-0.931,-0.552,0.013,0.003,64.462,423.804,1.064
u0_raw[1],-0.213,0.085,-0.376,-0.055,0.013,0.004,40.422,137.238,1.083
u0_raw[2],-0.922,0.103,-1.11,-0.728,0.013,0.003,61.92,400.571,1.067
u0_raw[3],-1.124,0.115,-1.349,-0.922,0.013,0.004,77.121,450.942,1.058
u0_raw[4],-1.739,0.131,-1.978,-1.487,0.015,0.005,84.43,318.574,1.061
u0_raw[5],0.882,0.109,0.676,1.081,0.015,0.006,50.411,220.753,1.071
u0_raw[6],1.106,0.172,0.792,1.433,0.016,0.004,116.8,608.164,1.031
u0_raw[7],0.222,0.098,0.04,0.404,0.014,0.004,51.61,272.305,1.069
u0_raw[8],0.782,0.106,0.59,0.989,0.014,0.005,59.957,211.697,1.065
u0_raw[9],-0.417,0.231,-0.862,0.008,0.011,0.003,486.54,3691.561,1.014
u0_raw[10],-0.619,0.102,-0.804,-0.419,0.013,0.003,64.708,396.973,1.06
u0_raw[11],-0.164,0.094,-0.347,0.009,0.014,0.004,46.456,141.352,1.069
u0_raw[12],0.397,0.098,0.217,0.581,0.014,0.004,51.327,279.291,1.07
u0_raw[13],1.935,0.195,1.592,2.317,0.018,0.006,112.235,382.673,1.036
u0_raw[14],0.104,0.099,-0.088,0.289,0.013,0.004,56.381,232.323,1.06
u0_raw[15],-1.782,0.138,-2.038,-1.521,0.015,0.006,91.151,321.599,1.056
u0_raw[16],-0.039,0.108,-0.243,0.164,0.013,0.004,65.0,428.149,1.052
u0_raw[17],0.574,0.103,0.389,0.774,0.013,0.005,60.358,230.823,1.065
u0_raw[18],-1.431,0.544,-2.472,-0.429,0.006,0.007,7260.991,5320.194,1.001
u0_raw[19],-0.922,0.106,-1.117,-0.717,0.013,0.003,65.306,429.931,1.063
u0_raw[20],-0.461,0.097,-0.644,-0.279,0.013,0.003,54.57,368.034,1.069
u0_raw[21],-0.098,0.098,-0.272,0.096,0.014,0.004,51.018,356.6,1.065
u0_raw[22],0.887,0.11,0.68,1.092,0.015,0.005,55.604,212.681,1.068
u0_raw[23],-1.06,0.11,-1.27,-0.861,0.013,0.004,72.271,400.334,1.06
u0_raw[24],-1.724,0.132,-1.978,-1.485,0.015,0.005,79.898,299.988,1.062
u0_raw[25],1.164,0.12,0.938,1.383,0.016,0.006,58.254,210.743,1.066
u0_raw[26],1.3,0.125,1.076,1.537,0.016,0.006,64.071,207.285,1.063
u0_raw[27],-0.566,0.133,-0.824,-0.319,0.012,0.003,112.985,882.627,1.035
u0_raw[28],-0.146,0.095,-0.322,0.035,0.013,0.004,51.755,301.635,1.066
u0_raw[29],0.624,0.105,0.43,0.823,0.014,0.004,55.295,254.306,1.065
u0_raw[30],0.896,0.111,0.69,1.106,0.015,0.005,56.224,242.079,1.066
u0_raw[31],0.585,0.11,0.375,0.79,0.014,0.005,62.115,265.758,1.06
u0_raw[32],-0.234,0.102,-0.425,-0.044,0.014,0.003,55.661,349.82,1.058
u0_raw[33],-0.788,0.101,-0.978,-0.597,0.013,0.003,59.729,438.367,1.064
u0_raw[34],0.44,0.102,0.245,0.627,0.014,0.005,56.167,283.792,1.065
u0_raw[35],0.312,0.088,0.146,0.473,0.014,0.005,41.252,196.802,1.087
u0_raw[36],-0.808,0.103,-0.994,-0.613,0.013,0.003,62.586,504.647,1.062
u0_raw[37],0.914,0.112,0.705,1.123,0.015,0.005,59.702,175.172,1.064
u0_raw[38],-0.69,0.101,-0.874,-0.492,0.012,0.003,65.929,420.529,1.06
u0_raw[39],0.029,0.097,-0.154,0.213,0.013,0.004,55.808,277.82,1.063
u0_raw[40],-1.037,0.446,-1.917,-0.236,0.006,0.005,6443.035,5674.814,1.003
u0_raw[41],-0.215,0.107,-0.415,-0.011,0.014,0.003,57.927,329.681,1.054
u0_raw[42],0.268,0.098,0.086,0.451,0.013,0.004,54.343,278.952,1.066
u0_raw[43],-0.294,0.1,-0.49,-0.118,0.013,0.003,58.088,355.353,1.059
u0_raw[44],0.332,0.097,0.144,0.511,0.013,0.005,58.413,222.388,1.064
u0_raw[45],-0.633,0.106,-0.839,-0.442,0.013,0.003,68.11,445.533,1.058
u0_raw[46],-1.752,0.133,-2.011,-1.509,0.013,0.006,113.293,301.53,1.055
u0_raw[47],0.274,0.099,0.087,0.45,0.013,0.005,62.248,198.795,1.062
u0_raw[48],-1.748,0.136,-2.004,-1.497,0.015,0.006,89.992,291.256,1.056
u0_raw[49],1.769,0.148,1.494,2.044,0.017,0.006,74.955,206.614,1.056
u0_raw[50],-0.257,0.103,-0.442,-0.059,0.014,0.003,52.766,415.181,1.06
u0_raw[51],-0.985,0.111,-1.193,-0.785,0.014,0.003,65.535,415.505,1.06
u0_raw[52],-0.21,0.095,-0.39,-0.029,0.014,0.004,46.873,306.78,1.067
u0_raw[53],0.083,0.098,-0.096,0.271,0.013,0.004,55.69,329.112,1.062
